OBJECTID,Lat,Long,IPR1317_Alpha,SchoolID
1,19.45475739,-155.7936922,260,1
2,29.49448047,-100.6710462,228,1
3,29.69900261,-100.6381445,234,1
4,30.09511867,-103.367713,242,1
5,28.30407154,-99.15936149,247,1
6,29.64374222,-103.5830091,250,1
7,31.24727071,-100.0769834,389,1
8,30.67880707,-101.861041,295,1
9,28.91061359,-98.99587166,178,1
10,28.91061359,-98.99587166,178,1
11,30.87353237,-96.68082605,223,1
12,29.25110558,-95.04364196,393,1
13,29.88182874,-100.7794699,310,1
14,29.4172869,-99.03491339,292,1
15,27.40762344,-98.92025109,195,1
16,28.12727058,-96.87591419,267,1
17,27.78935624,-98.75466583,225,1
18,28.68598516,-99.42400466,220,1
19,31.15453767,-100.9206884,332,1
20,30.87421191,-99.74894382,254,1
21,31.22417973,-96.60766799,269,1
22,29.08455347,-97.56504565,309,1
23,29.62517399,-100.8895131,364,1
24,28.77339252,-95.69667807,279,1
25,29.62951307,-99.67401188,271,1
26,29.11854456,-97.95371088,348,1
27,29.86914761,-99.53233523,303,1
28,30.4279684,-99.69821243,210,1
29,30.87612027,-96.88520175,288,1
30,30.58951129,-101.5049526,335,1
31,26.99651415,-98.50429578,167,1
32,28.9283592,-99.65766102,167,1
33,29.0247653,-100.4365582,224,1
34,30.89251187,-97.30099158,321,1
35,30.39561985,-98.07557543,596,1
36,29.51940241,-100.2993773,209,1
37,29.67421393,-102.7928063,255,1
38,29.59943519,-96.41813004,273,1
39,29.08073114,-97.6102158,334,1
40,27.31937166,-98.30692941,217,1
41,30.19951455,-100.510499,318,1
42,30.43040249,-95.93345266,231,1
43,30.46874275,-104.0843444,226,1
44,29.00498597,-97.8546286,333,1
45,30.55402477,-94.47533371,266,1
46,29.36562171,-99.33733347,304,1
47,30.57549069,-96.12636642,453,1
48,29.08738903,-100.1882443,184,1
49,29.08738903,-100.1882443,184,1
50,30.80874531,-103.4150102,227,1
51,30.80874531,-103.4150102,227,1
52,30.24157666,-100.1824915,239,1
53,30.69237009,-101.64872,304,1
54,30.42054955,-104.5298398,277,1
55,29.53477834,-97.16809501,301,1
56,31.15322372,-100.1581454,378,1
57,28.15323393,-98.6964085,226,1
58,28.93455225,-95.33441291,209,1
59,28.93455225,-95.33441291,209,1
60,31.20582062,-96.41652406,232,1
61,29.81973703,-102.4496034,269,1
62,28.74868958,-98.07710618,308,1
63,29.51368255,-96.94280272,458,1
64,29.81521484,-100.0252105,219,1
65,29.07240582,-97.20323484,322,1
66,29.90343786,-103.225912,245,1
67,30.30818026,-104.5727982,258,1
68,31.09770145,-94.46549793,201,1
69,26.50398905,-98.81335369,169,1
70,30.98581912,-95.18776573,203,1
71,28.36447652,-98.40704229,254,1
72,31.07273921,-99.09345246,265,1
73,29.88121168,-99.90499218,233,1
74,26.60160299,-98.339509,139,1
75,30.87776061,-97.89024698,291,1
76,28.41673881,-97.32882621,271,1
77,29.86439291,-104.1347299,234,1
78,29.94881606,-97.31605372,368,1
79,30.01933819,-96.91722429,348,1
80,30.45575982,-102.5980348,239,1
81,27.91284332,-98.70949184,225,1
